中文名,国籍,职业,出生日期,url
严娣,中国,演员、导演、制片人、编剧、教师、歌手、作家,1971年12月6日,/film.kg.huawei.com/严娣/190148976
章岩,中华人民共和国,演员,1988年7月21日,/film.kg.huawei.com/章岩
陶园,中国,歌手,1979年7月30日,/film.kg.huawei.com/陶园
平庆,中国,演员,1981年3月6日,/film.kg.huawei.com/平庆/132761596
孔婉,中国,演员、学生,1997年10月10日,/film.kg.huawei.com/孔婉
祁露,中国,演员、歌手,1967年7月8日,/film.kg.huawei.com/祁露/130939339
郎珍,中国,演员、模特,1991年9月2日,/film.kg.huawei.com/郎珍
葛霭,中国,演员、导演,1974年4月3日,/film.kg.huawei.com/葛霭/65291993
伍蕊,中华人民共和国,演员、歌手,1978年7月12日,/film.kg.huawei.com/伍蕊/95548200
乐翰,中国,演员、歌手,1989年4月19日,/film.kg.huawei.com/乐翰/52239446
穆竹,中国,演员、导演、出品人,1979年2月8日,/film.kg.huawei.com/穆竹/51990616
计广,中国,演员，歌手,1980年12月13日,/film.kg.huawei.com/计广
卫希,中国,演员、歌手,1967年1月31日,/film.kg.huawei.com/卫希
邹茂,中国,演员,1988年3月14日,/film.kg.huawei.com/邹茂
卫策,中国,歌手、演员、制片人、出品人,1970年10月31日,/film.kg.huawei.com/卫策
葛成,中国,演员、歌手、主持人,1985年11月21日,/film.kg.huawei.com/葛成
王会,中国,演员,1987年02月22日（农历正月二十五）,/film.kg.huawei.com/王会
臧松,美国,演员、歌手,1987年8月25日,/film.kg.huawei.com/臧松/98648994
余彩,加拿大,演员,1984年9月25日,/film.kg.huawei.com/余彩
岑敬,中国,演员,1990年10月28日,/film.kg.huawei.com/岑敬/53741982
柏学,加拿大,演员、歌手,1982年3月24日,/film.kg.huawei.com/柏学
何胜,中华人民共和国,演员、模特,1993年10月18日,/film.kg.huawei.com/何胜
范琳,中国,演员、歌手、制片人,1976年1月27日（腊月廿七）,/film.kg.huawei.com/范琳
孟兴,中华人民共和国,演员、主持人,1985年11月21日,/film.kg.huawei.com/孟兴/28501432
宋妹,中国,歌手、演员、音乐人,1956年9月12日,/film.kg.huawei.com/宋妹
茅真,中国,演员、歌手,1986年11月6日,/film.kg.huawei.com/茅真
米启,中华人民共和国,演员，歌手,1990年4月20日,/film.kg.huawei.com/米启
秦菁,中国,演员,1968年5月16日,/film.kg.huawei.com/秦菁
庞珊,中国,演员、歌手,1991年6月18日,/film.kg.huawei.com/庞珊
曹雁,中国,演员,1986年4月17日,/film.kg.huawei.com/曹雁/165649933
李玲,中国,演员、模特,1987年2月28日,/film.kg.huawei.com/李玲/23893961
戚磊,中国,演员,1970年8月16日,/film.kg.huawei.com/戚磊
潘时,韩国,演员、歌手,1984年10月3日,/film.kg.huawei.com/潘时
冯鹏,中国,演员、歌手、主持人,1985年11月9日,/film.kg.huawei.com/冯鹏/78559420
庞锦,中国,演员,1986年9月1日,/film.kg.huawei.com/庞锦
昌家,中国,演员、歌手、主持人,1987年2月2日,/film.kg.huawei.com/昌家
罗俊,美国,演员,1984年11月22日,/film.kg.huawei.com/罗俊/186602170
汪坚,中国,歌手、演员,1989年12月13日,/film.kg.huawei.com/汪坚/82819598
卜发,中国,演员,1982年11月12日,/film.kg.huawei.com/卜发
黄维,中国,演员、歌手、出品人,1,/film.kg.huawei.com/黄维
卞泰,中华人民共和国,演员，歌手,1988年12月27日（农历冬月十九）,/film.kg.huawei.com/卞泰/174356394
金毅,中国,演员,1966年11月18日,/film.kg.huawei.com/金毅/171906111
卜华,中国,学生、歌手、演员、主持人,2000年11月8日（农历十月十三）,/film.kg.huawei.com/卜华/107546736
杨滢,中国,演员,1992年1月31日,/film.kg.huawei.com/杨滢
